Tissue,sgID,Cell_Line,Mouse_Genotype,Sex,Time_Point,MetBurden,MetSeeding,SizePercentile,PeakMode,MetDormancy
WholeBlood,Chd7mmu-sg2,rp48,BL6,M,3weeks,2.06658490671176,1.58979326183692,0.960092758032797,,1
WholeBlood,Chd7mmu-sg3,rp48,BL6,M,3weeks,1.7144653427403,2.13337065767905,1.14926545375187,0.313080657804159,1
WholeBlood,Crebbpmmu-sg1,rp48,BL6,M,3weeks,13.6969066311435,1.30566657974016,6.90839714333685,,0.928571428571429
WholeBlood,Crebbpmmu-sg2,rp48,BL6,M,3weeks,4.05454769710126,2.21709705000704,2.54899438629443,,1
WholeBlood,Crebbpmmu-sg3,rp48,BL6,M,3weeks,4.70478102937459,2.22054252402034,2.10349091972255,,1
WholeBlood,Ctnnd1mmu-sg1,rp48,BL6,M,3weeks,1.50868870149569,1.11819564502635,1.49254781445584,1.07408510343458,1
WholeBlood,Ctnnd1mmu-sg2,rp48,BL6,M,3weeks,1.26258213033456,0.864905911215981,1.44607707035049,,1
WholeBlood,Ctnnd1mmu-sg3,rp48,BL6,M,3weeks,0.479902923039426,0.654586616481032,0.62498436039529,,1
WholeBlood,Ewsr1mmu-sg1,rp48,BL6,M,3weeks,0.949811433664347,0.80645222553452,0.778421640770753,,1
WholeBlood,Ewsr1mmu-sg2,rp48,BL6,M,3weeks,1.22513038275674,0.887476626318241,1.02969248194502,,1
WholeBlood,Ewsr1mmu-sg3,rp48,BL6,M,3weeks,5.25968347138309,1.25515549810203,4.89101545228642,,1
WholeBlood,Gabrr1mmu-sg2,rp48,BL6,M,3weeks,1.62080640569358,1.63716897063712,1.17276697666694,,1
WholeBlood,Gabrr1mmu-sg3,rp48,BL6,M,3weeks,0.681769975518485,0.786008119583287,0.542109271869692,,1
WholeBlood,Gata6mmu-sg3,rp48,BL6,M,3weeks,1.11907989590645,0.437726479549861,1.59492008680004,,1
WholeBlood,Gpatch8mmu-sg1,rp48,BL6,M,3weeks,0.776642662423521,1.211339946954,0.682019663797306,,1
WholeBlood,KMT5Bmmu-sg1,rp48,BL6,M,3weeks,0.962930003586479,1.2526346653692,0.612776432144323,,1
WholeBlood,KMT5Bmmu-sg3,rp48,BL6,M,3weeks,5.29195677155146,0.904780917201185,7.26687711215998,,1
WholeBlood,Kctd10mmu-sg1,rp48,BL6,M,3weeks,2.25619216582484,0.543295416899259,3.76882169082224,,1
WholeBlood,Lamc1mmu-sg1,rp48,BL6,M,3weeks,7.0271039686144,1.21610479720312,2.70711356413361,,1
WholeBlood,Lamc1mmu-sg2,rp48,BL6,M,3weeks,0.74355320761526,0.897395874623074,0.692778473233141,,1
WholeBlood,Lamc1mmu-sg3,rp48,BL6,M,3weeks,2.61516688414878,2.32055772683644,1.29503818873054,,1
WholeBlood,Maddmmu-sg2,rp48,BL6,M,3weeks,0.882039074844385,1.19950934743194,0.494470886720436,,1
WholeBlood,Maddmmu-sg3,rp48,BL6,M,3weeks,1.8155817935211,1.38869043444415,1.49951227739728,,1
WholeBlood,Mgammu-sg2,rp48,BL6,M,3weeks,1.98791743591642,0.569777421586859,4.52902475685492,,1
WholeBlood,Ptenmmu-sg3,rp48,BL6,M,3weeks,3.25594746415241,0.91960161894577,4.64334552031829,,1
WholeBlood,Runx1t1mmu-sg2,rp48,BL6,M,3weeks,4.89988371412213,2.26594457401585,2.9741445674179,,1
WholeBlood,Runx1t1mmu-sg3,rp48,BL6,M,3weeks,1.44385888760694,0.745306996006791,1.11821680934927,,1
WholeBlood,Trip12mmu-sg2,rp48,BL6,M,3weeks,2.63895189688913,0.618299736554806,3.86773709776654,,1
WholeBlood,Tsc2mmu-sg1,rp48,BL6,M,3weeks,6.90229814428819,1.6476078316778,5.18380142787102,,1
WholeBlood,sgNT3-MMU,rp48,BL6,M,3weeks,1.46586002543693,0.992223618567953,1.17213186534706,,1
WholeBlood,sgSafe19-MMU,rp48,BL6,M,3weeks,1.65362494802592,1.79815567141781,0.731022967357981,,1
WholeBlood,sgSafe29-MMU,rp48,BL6,M,3weeks,1.29780966847715,1.37476094311986,0.853067521868447,,1
WholeBlood,sgSafe36-MMU,rp48,BL6,M,3weeks,0.453506602978035,0.740918610347499,0.469337000380583,,1
WholeBlood,Bag1mmu-sg2,rp48,BL6,M,3weeks,0.428734711314448,0.46930770516275,0.769439095866066,,1
WholeBlood,Brk1mmu-sg3,rp48,BL6,M,3weeks,0.295379743068656,0.174142616633583,0.794651559510059,,1
WholeBlood,Chd7mmu-sg1,rp48,BL6,M,3weeks,1.22708015027104,1.04939079647462,0.793797657614971,,1
WholeBlood,Gata6mmu-sg1,rp48,BL6,M,3weeks,0.87658555436797,0.811256155998796,0.955523649378454,,1
WholeBlood,Gpatch8mmu-sg3,rp48,BL6,M,3weeks,1.81350134966223,1.56675100347401,1.18681990654898,,1
WholeBlood,Inpp5emmu-sg1,rp48,BL6,M,3weeks,1.68449023545947,1.36081545380284,0.879483672229553,,1
WholeBlood,Inpp5emmu-sg2,rp48,BL6,M,3weeks,1.09993589618318,1.88738074796362,0.500745274829694,,1
WholeBlood,Inpp5emmu-sg3,rp48,BL6,M,3weeks,1.30174490765419,1.27245708449901,0.872130086562289,,1
WholeBlood,KMT5Bmmu-sg2,rp48,BL6,M,3weeks,0.58985893378237,0.866289233935024,0.527069506330635,,1
WholeBlood,Kdm5ammu-sg3,rp48,BL6,M,3weeks,2.61629905901544,1.54448451634454,0.793605965352809,,1
WholeBlood,Maddmmu-sg1,rp48,BL6,M,3weeks,0.946506382035466,1.04161866016614,0.770893696019615,,1
WholeBlood,Mgammu-sg1,rp48,BL6,M,3weeks,0.710109845837671,0.669303046134841,0.704844205153433,,1
WholeBlood,Mgammu-sg3,rp48,BL6,M,3weeks,0.191237150524529,0.120401968943531,0.744114508576305,,1
WholeBlood,Ptenmmu-sg1,rp48,BL6,M,3weeks,1.58616669125822,0.727258412563146,2.19022350776102,,1
