Mouse_ID,Tissue,sgID,Cell_Line,MetBurden,MetSeeding,SizePercentile,PeakMode,MetDormancy,SizePercentile_50,SizePercentile_20
73200,Liver,Inpp5emmu-sg1,rp48,0.766036971,0.816616189,0.887377015,1.89425042,1.004435542,1.018927445,0.786700125
73200,Liver,Inpp5emmu-sg2,rp48,1.166407968,0.976383168,0.990789198,2.860570001,1.004435542,1.593059937,0.974905897
73200,Liver,Inpp5emmu-sg3,rp48,0.893134739,0.710931345,1.261042495,2.046334802,0.967234225,1.32807571,0.560853199
73200,Liver,KMT5Bmmu-sg1,rp48,0.833105992,0.928821779,0.866862047,2.071541162,1.004435542,0.810725552,0.626097867
73200,Liver,KMT5Bmmu-sg2,rp48,1.03908348,0.896300577,1.031714465,1.394259271,1.004435542,1.1829653,1.542032622
73200,Liver,KMT5Bmmu-sg3,rp48,1.041178707,0.789020274,1.520828972,2.175092935,1.004435542,1.205047319,0.737766625
73200,Liver,Kctd10mmu-sg1,rp48,0.680858668,0.618328815,1.02909776,1.201293708,1.004435542,1.082018927,1.109159348
73200,Liver,Kctd10mmu-sg2,rp48,0.864951278,0.823039188,1.003663387,2.107745082,1.004435542,1.26340694,1.224592221
73200,Liver,Kctd10mmu-sg3,rp48,1.043706748,1.038819949,0.931023655,,1.004435542,1.015772871,0.897114178
73200,Liver,Kdm5ammu-sg1,rp48,0.921643422,0.960922865,0.713209127,,1.004435542,1.138801262,1.983688833
73200,Liver,Kdm5ammu-sg2,rp48,0.627323637,0.358852515,1.259995813,,1.004435542,2.015772871,3.485570891
73200,Liver,Kdm5ammu-sg3,rp48,1.2854187,1.438191863,0.810969228,,1.004435542,0.880126183,0.805520703
73200,Liver,Lamc1mmu-sg1,rp48,1.102971843,1.132411497,0.856185891,,1.004435542,0.766561514,0.73651192
73200,Liver,Lamc1mmu-sg2,rp48,1.17875457,1.005858601,1.07159305,0.927796573,0.988982687,0.870662461,1.012547051
73200,Liver,Lamc1mmu-sg3,rp48,0.839213023,0.826993926,1.154490266,1.164918209,1.004435542,1.003154574,1.386449184
73200,Liver,Maddmmu-sg1,rp48,1.236051515,1.163920362,1.361942642,0.839140904,0.985834883,0.810725552,1.013801757
